heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blm_melhor_melhora,15,10,1,0.0252,1004,101,NA
blm_melhor_melhora,15,10,2,0.0239,1003,163,NA
blm_melhor_melhora,15,10,3,0.0239,1013,101,NA
blm_melhor_melhora,15,10,4,0.0229,1009,92,NA
blm_melhor_melhora,15,10,5,0.0252,1002,99,NA
blm_melhor_melhora,15,10,6,0.0256,1005,148,NA
blm_melhor_melhora,15,10,7,0.0236,1010,100,NA
blm_melhor_melhora,15,10,8,0.0236,1007,92,NA
blm_melhor_melhora,15,10,9,0.0238,1008,93,NA
blm_melhor_melhora,15,10,10,0.0233,1005,96,NA
blm_melhor_melhora,20,10,1,0.0320,1005,145,NA
blm_melhor_melhora,20,10,2,0.0310,1004,135,NA
blm_melhor_melhora,20,10,3,0.0316,1017,100,NA
blm_melhor_melhora,20,10,4,0.0312,1008,163,NA
blm_melhor_melhora,20,10,5,0.0313,1007,128,NA
blm_melhor_melhora,20,10,6,0.0309,1009,99,NA
blm_melhor_melhora,20,10,7,0.0326,1005,137,NA
blm_melhor_melhora,20,10,8,0.0313,1004,160,NA
blm_melhor_melhora,20,10,9,0.0306,1006,121,NA
blm_melhor_melhora,20,10,10,0.0310,1006,145,NA
blm_melhor_melhora,30,20,1,0.0932,1010,85,NA
blm_melhor_melhora,30,20,2,0.0927,1011,91,NA
blm_melhor_melhora,30,20,3,0.0888,1006,128,NA
blm_melhor_melhora,30,20,4,0.0917,1005,176,NA
blm_melhor_melhora,30,20,5,0.0918,1017,127,NA
blm_melhor_melhora,30,20,6,0.0912,1007,186,NA
blm_melhor_melhora,30,20,7,0.0967,1015,98,NA
blm_melhor_melhora,30,20,8,0.0963,1012,115,NA
blm_melhor_melhora,30,20,9,0.0940,1004,158,NA
blm_melhor_melhora,30,20,10,0.0971,1005,128,NA
blm_melhor_melhora,40,20,1,0.1195,1008,160,NA
blm_melhor_melhora,40,20,2,0.1235,1010,127,NA
blm_melhor_melhora,40,20,3,0.1284,1005,166,NA
blm_melhor_melhora,40,20,4,0.1247,1004,207,NA
blm_melhor_melhora,40,20,5,0.1183,1006,170,NA
blm_melhor_melhora,40,20,6,0.1198,1005,195,NA
blm_melhor_melhora,40,20,7,0.1199,1015,119,NA
blm_melhor_melhora,40,20,8,0.1281,1007,172,NA
blm_melhor_melhora,40,20,9,0.1174,1018,99,NA
blm_melhor_melhora,40,20,10,0.1182,1018,154,NA
blm_melhor_melhora,75,50,1,0.5634,1006,169,NA
blm_melhor_melhora,75,50,2,0.5377,1002,217,NA
blm_melhor_melhora,75,50,3,0.5447,1008,168,NA
blm_melhor_melhora,75,50,4,0.5545,1004,200,NA
blm_melhor_melhora,75,50,5,0.5583,1009,173,NA
blm_melhor_melhora,75,50,6,0.5582,1013,160,NA
blm_melhor_melhora,75,50,7,0.5483,1013,142,NA
blm_melhor_melhora,75,50,8,0.5523,1017,181,NA
blm_melhor_melhora,75,50,9,0.5617,1014,145,NA
blm_melhor_melhora,75,50,10,0.5499,1015,149,NA
blm_melhor_melhora,100,50,1,0.7393,1011,247,NA
blm_melhor_melhora,100,50,2,0.7384,1020,212,NA
blm_melhor_melhora,100,50,3,0.7649,1014,185,NA
blm_melhor_melhora,100,50,4,0.7448,1008,201,NA
blm_melhor_melhora,100,50,5,0.7966,1008,185,NA
blm_melhor_melhora,100,50,6,0.7461,1006,253,NA
blm_melhor_melhora,100,50,7,0.7229,1007,215,NA
blm_melhor_melhora,100,50,8,0.7243,1013,188,NA
blm_melhor_melhora,100,50,9,0.7432,1017,167,NA
blm_melhor_melhora,100,50,10,0.7203,1010,232,NA
