heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blm_melhor_melhora,15,10,1,0.0329,1002,95,NA
blm_melhor_melhora,15,10,2,0.0328,1002,100,NA
blm_melhor_melhora,15,10,3,0.0341,1004,135,NA
blm_melhor_melhora,15,10,4,0.0331,1004,98,NA
blm_melhor_melhora,15,10,5,0.0335,1005,100,NA
blm_melhor_melhora,15,10,6,0.0328,1004,96,NA
blm_melhor_melhora,15,10,7,0.0335,1003,121,NA
blm_melhor_melhora,15,10,8,0.0330,1010,100,NA
blm_melhor_melhora,15,10,9,0.0332,1007,99,NA
blm_melhor_melhora,15,10,10,0.0333,1003,83,NA
blm_melhor_melhora,20,10,1,0.0455,1012,132,NA
blm_melhor_melhora,20,10,2,0.0435,1009,131,NA
blm_melhor_melhora,20,10,3,0.0435,1002,179,NA
blm_melhor_melhora,20,10,4,0.0427,1012,98,NA
blm_melhor_melhora,20,10,5,0.0441,1002,181,NA
blm_melhor_melhora,20,10,6,0.0460,1013,122,NA
blm_melhor_melhora,20,10,7,0.0508,1009,150,NA
blm_melhor_melhora,20,10,8,0.0480,1005,152,NA
blm_melhor_melhora,20,10,9,0.0432,1009,159,NA
blm_melhor_melhora,20,10,10,0.0448,1001,159,NA
blm_melhor_melhora,30,20,1,0.1296,1010,94,NA
blm_melhor_melhora,30,20,2,0.1270,1012,112,NA
blm_melhor_melhora,30,20,3,0.1353,1012,120,NA
blm_melhor_melhora,30,20,4,0.1352,1010,99,NA
blm_melhor_melhora,30,20,5,0.1327,1005,136,NA
blm_melhor_melhora,30,20,6,0.1271,1004,129,NA
blm_melhor_melhora,30,20,7,0.1450,1014,97,NA
blm_melhor_melhora,30,20,8,0.1276,1006,125,NA
blm_melhor_melhora,30,20,9,0.1282,1004,143,NA
blm_melhor_melhora,30,20,10,0.1284,1007,135,NA
blm_melhor_melhora,40,20,1,0.1737,1015,137,NA
blm_melhor_melhora,40,20,2,0.1728,1006,144,NA
blm_melhor_melhora,40,20,3,0.1744,1002,247,NA
blm_melhor_melhora,40,20,4,0.1751,1006,158,NA
blm_melhor_melhora,40,20,5,0.1722,1006,140,NA
blm_melhor_melhora,40,20,6,0.1712,1011,147,NA
blm_melhor_melhora,40,20,7,0.1748,1003,194,NA
blm_melhor_melhora,40,20,8,0.1696,1008,156,NA
blm_melhor_melhora,40,20,9,0.1794,1024,154,NA
blm_melhor_melhora,40,20,10,0.1693,1006,120,NA
blm_melhor_melhora,75,50,1,0.7737,1011,152,NA
blm_melhor_melhora,75,50,2,0.7822,1006,182,NA
blm_melhor_melhora,75,50,3,0.7905,1014,160,NA
blm_melhor_melhora,75,50,4,0.8035,1015,156,NA
blm_melhor_melhora,75,50,5,0.7954,1003,173,NA
blm_melhor_melhora,75,50,6,0.7955,1009,192,NA
blm_melhor_melhora,75,50,7,0.7952,1016,161,NA
blm_melhor_melhora,75,50,8,0.8142,1004,207,NA
blm_melhor_melhora,75,50,9,0.7950,1009,193,NA
blm_melhor_melhora,75,50,10,0.8031,1021,129,NA
blm_melhor_melhora,100,50,1,1.0536,1004,197,NA
blm_melhor_melhora,100,50,2,1.0606,1008,217,NA
blm_melhor_melhora,100,50,3,1.0576,1005,215,NA
blm_melhor_melhora,100,50,4,1.0662,1009,202,NA
blm_melhor_melhora,100,50,5,1.0390,1004,219,NA
blm_melhor_melhora,100,50,6,1.0656,1008,190,NA
blm_melhor_melhora,100,50,7,1.0715,1015,162,NA
blm_melhor_melhora,100,50,8,1.0471,1006,248,NA
blm_melhor_melhora,100,50,9,1.0515,1006,219,NA
blm_melhor_melhora,100,50,10,1.0338,1004,248,NA
