heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,15,10,1,0.0399,1294,110,0.1
blnm_monotona_randomizada,15,10,1,0.0296,1048,110,0.2
blnm_monotona_randomizada,15,10,1,0.0257,1069,110,0.3
blnm_monotona_randomizada,15,10,1,0.0219,1030,110,0.4
blnm_monotona_randomizada,15,10,1,0.0198,1133,110,0.5
blnm_monotona_randomizada,15,10,1,0.0168,1156,110,0.6
blnm_monotona_randomizada,15,10,1,0.0124,1165,110,0.7
blnm_monotona_randomizada,15,10,1,0.0189,2475,110,0.8
blnm_monotona_randomizada,15,10,1,0.0073,1624,116,0.9
blnm_monotona_randomizada,15,10,2,0.0316,1070,96,0.1
blnm_monotona_randomizada,15,10,2,0.0473,1759,96,0.2
blnm_monotona_randomizada,15,10,2,0.0240,1015,96,0.3
blnm_monotona_randomizada,15,10,2,0.0275,1305,96,0.4
blnm_monotona_randomizada,15,10,2,0.0221,1282,96,0.5
blnm_monotona_randomizada,15,10,2,0.0183,1237,101,0.6
blnm_monotona_randomizada,15,10,2,0.0139,1193,101,0.7
blnm_monotona_randomizada,15,10,2,0.0142,1790,96,0.8
blnm_monotona_randomizada,15,10,2,0.0109,2406,110,0.9
blnm_monotona_randomizada,15,10,3,0.0299,1009,99,0.1
blnm_monotona_randomizada,15,10,3,0.0271,1010,99,0.2
blnm_monotona_randomizada,15,10,3,0.0243,1006,99,0.3
blnm_monotona_randomizada,15,10,3,0.0231,1020,99,0.4
blnm_monotona_randomizada,15,10,3,0.0179,1023,99,0.5
blnm_monotona_randomizada,15,10,3,0.0145,1001,99,0.6
blnm_monotona_randomizada,15,10,3,0.0138,1159,99,0.7
blnm_monotona_randomizada,15,10,3,0.0098,1077,99,0.8
blnm_monotona_randomizada,15,10,3,0.0082,1381,99,0.9
blnm_monotona_randomizada,15,10,4,0.0300,1010,91,0.1
blnm_monotona_randomizada,15,10,4,0.0269,1006,91,0.2
blnm_monotona_randomizada,15,10,4,0.0247,1018,91,0.3
blnm_monotona_randomizada,15,10,4,0.0209,1001,91,0.4
blnm_monotona_randomizada,15,10,4,0.0182,1003,91,0.5
blnm_monotona_randomizada,15,10,4,0.0144,1008,91,0.6
blnm_monotona_randomizada,15,10,4,0.0105,1039,91,0.7
blnm_monotona_randomizada,15,10,4,0.0084,1050,91,0.8
blnm_monotona_randomizada,15,10,4,0.0042,1045,91,0.9
blnm_monotona_randomizada,15,10,5,0.0351,1177,116,0.1
blnm_monotona_randomizada,15,10,5,0.0303,1135,116,0.2
blnm_monotona_randomizada,15,10,5,0.0245,1011,116,0.3
blnm_monotona_randomizada,15,10,5,0.0223,1024,116,0.4
blnm_monotona_randomizada,15,10,5,0.0197,1017,116,0.5
blnm_monotona_randomizada,15,10,5,0.0167,1119,116,0.6
blnm_monotona_randomizada,15,10,5,0.0152,1348,118,0.7
blnm_monotona_randomizada,15,10,5,0.0116,1497,118,0.8
blnm_monotona_randomizada,15,10,5,0.0050,1052,133,0.9
blnm_monotona_randomizada,15,10,6,0.0306,1044,92,0.1
blnm_monotona_randomizada,15,10,6,0.0270,1005,92,0.2
blnm_monotona_randomizada,15,10,6,0.0266,1015,92,0.3
blnm_monotona_randomizada,15,10,6,0.0221,1013,92,0.4
blnm_monotona_randomizada,15,10,6,0.0189,1036,92,0.5
blnm_monotona_randomizada,15,10,6,0.0134,1009,92,0.6
blnm_monotona_randomizada,15,10,6,0.0141,1013,92,0.7
blnm_monotona_randomizada,15,10,6,0.0094,1095,92,0.8
blnm_monotona_randomizada,15,10,6,0.0057,1383,92,0.9
blnm_monotona_randomizada,15,10,7,0.0335,1110,100,0.1
blnm_monotona_randomizada,15,10,7,0.0285,1009,100,0.2
blnm_monotona_randomizada,15,10,7,0.0250,1016,100,0.3
blnm_monotona_randomizada,15,10,7,0.0205,1022,100,0.4
blnm_monotona_randomizada,15,10,7,0.0191,1105,100,0.5
blnm_monotona_randomizada,15,10,7,0.0197,1330,100,0.6
blnm_monotona_randomizada,15,10,7,0.0133,1148,100,0.7
blnm_monotona_randomizada,15,10,7,0.0131,1462,100,0.8
blnm_monotona_randomizada,15,10,7,0.0056,1200,102,0.9
blnm_monotona_randomizada,15,10,8,0.0305,1007,100,0.1
blnm_monotona_randomizada,15,10,8,0.0269,1003,100,0.2
blnm_monotona_randomizada,15,10,8,0.0279,1006,100,0.3
blnm_monotona_randomizada,15,10,8,0.0215,1013,100,0.4
blnm_monotona_randomizada,15,10,8,0.0176,1010,100,0.5
blnm_monotona_randomizada,15,10,8,0.0142,1010,100,0.6
blnm_monotona_randomizada,15,10,8,0.0112,1005,100,0.7
blnm_monotona_randomizada,15,10,8,0.0078,1008,100,0.8
blnm_monotona_randomizada,15,10,8,0.0049,1226,100,0.9
blnm_monotona_randomizada,15,10,9,0.0322,1074,86,0.1
blnm_monotona_randomizada,15,10,9,0.0275,1038,86,0.2
blnm_monotona_randomizada,15,10,9,0.0291,1241,86,0.3
blnm_monotona_randomizada,15,10,9,0.0209,1037,86,0.4
blnm_monotona_randomizada,15,10,9,0.0258,1420,86,0.5
blnm_monotona_randomizada,15,10,9,0.0162,1131,86,0.6
blnm_monotona_randomizada,15,10,9,0.0161,1419,86,0.7
blnm_monotona_randomizada,15,10,9,0.0133,1618,92,0.8
blnm_monotona_randomizada,15,10,9,0.0078,1642,92,0.9
blnm_monotona_randomizada,15,10,10,0.0308,1010,96,0.1
blnm_monotona_randomizada,15,10,10,0.0277,1008,96,0.2
blnm_monotona_randomizada,15,10,10,0.0235,1019,96,0.3
blnm_monotona_randomizada,15,10,10,0.0215,1021,96,0.4
blnm_monotona_randomizada,15,10,10,0.0182,1031,96,0.5
blnm_monotona_randomizada,15,10,10,0.0147,1047,96,0.6
blnm_monotona_randomizada,15,10,10,0.0119,1019,96,0.7
blnm_monotona_randomizada,15,10,10,0.0094,1195,96,0.8
blnm_monotona_randomizada,15,10,10,0.0056,1209,96,0.9
blnm_monotona_randomizada,20,10,1,0.0543,1394,107,0.1
blnm_monotona_randomizada,20,10,1,0.0381,1096,103,0.2
blnm_monotona_randomizada,20,10,1,0.0343,1130,107,0.3
blnm_monotona_randomizada,20,10,1,0.0458,1677,105,0.4
blnm_monotona_randomizada,20,10,1,0.0240,1081,107,0.5
blnm_monotona_randomizada,20,10,1,0.0243,1359,107,0.6
blnm_monotona_randomizada,20,10,1,0.0153,1104,109,0.7
blnm_monotona_randomizada,20,10,1,0.0101,1037,118,0.8
blnm_monotona_randomizada,20,10,1,0.0103,1776,115,0.9
blnm_monotona_randomizada,20,10,2,0.0562,1400,125,0.1
blnm_monotona_randomizada,20,10,2,0.0478,1240,125,0.2
blnm_monotona_randomizada,20,10,2,0.0356,1153,128,0.3
blnm_monotona_randomizada,20,10,2,0.0658,2461,126,0.4
blnm_monotona_randomizada,20,10,2,0.0337,1488,129,0.5
blnm_monotona_randomizada,20,10,2,0.0371,1982,125,0.6
blnm_monotona_randomizada,20,10,2,0.0354,2411,132,0.7
blnm_monotona_randomizada,20,10,2,0.0240,2248,128,0.8
blnm_monotona_randomizada,20,10,2,0.0106,1915,141,0.9
blnm_monotona_randomizada,20,10,3,0.0402,1017,93,0.1
blnm_monotona_randomizada,20,10,3,0.0360,1012,93,0.2
blnm_monotona_randomizada,20,10,3,0.0303,1014,93,0.3
blnm_monotona_randomizada,20,10,3,0.0285,1016,93,0.4
blnm_monotona_randomizada,20,10,3,0.0238,1022,93,0.5
blnm_monotona_randomizada,20,10,3,0.0186,1086,93,0.6
blnm_monotona_randomizada,20,10,3,0.0213,1523,93,0.7
blnm_monotona_randomizada,20,10,3,0.0188,1767,93,0.8
blnm_monotona_randomizada,20,10,3,0.0055,1037,93,0.9
blnm_monotona_randomizada,20,10,4,0.0480,1196,100,0.1
blnm_monotona_randomizada,20,10,4,0.0643,1810,100,0.2
blnm_monotona_randomizada,20,10,4,0.0376,1206,100,0.3
blnm_monotona_randomizada,20,10,4,0.0611,2237,100,0.4
blnm_monotona_randomizada,20,10,4,0.0243,1075,100,0.5
blnm_monotona_randomizada,20,10,4,0.0289,1605,100,0.6
blnm_monotona_randomizada,20,10,4,0.0276,1918,106,0.7
blnm_monotona_randomizada,20,10,4,0.0169,1580,105,0.8
blnm_monotona_randomizada,20,10,4,0.0055,1015,122,0.9
blnm_monotona_randomizada,20,10,5,0.0511,1292,105,0.1
blnm_monotona_randomizada,20,10,5,0.0766,2107,105,0.2
blnm_monotona_randomizada,20,10,5,0.0666,2117,105,0.3
blnm_monotona_randomizada,20,10,5,0.0527,1837,105,0.4
blnm_monotona_randomizada,20,10,5,0.0453,1975,105,0.5
blnm_monotona_randomizada,20,10,5,0.0345,1840,108,0.6
blnm_monotona_randomizada,20,10,5,0.0224,1622,115,0.7
blnm_monotona_randomizada,20,10,5,0.0179,1872,115,0.8
blnm_monotona_randomizada,20,10,5,0.0086,1619,121,0.9
blnm_monotona_randomizada,20,10,6,0.0716,1818,99,0.1
blnm_monotona_randomizada,20,10,6,0.0526,1492,101,0.2
blnm_monotona_randomizada,20,10,6,0.0684,2140,99,0.3
blnm_monotona_randomizada,20,10,6,0.0292,1058,99,0.4
blnm_monotona_randomizada,20,10,6,0.0593,2570,99,0.5
blnm_monotona_randomizada,20,10,6,0.0385,2084,102,0.6
blnm_monotona_randomizada,20,10,6,0.0213,1441,106,0.7
blnm_monotona_randomizada,20,10,6,0.0100,1052,104,0.8
blnm_monotona_randomizada,20,10,6,0.0069,1133,114,0.9
blnm_monotona_randomizada,20,10,7,0.0409,1061,128,0.1
blnm_monotona_randomizada,20,10,7,0.0421,1215,128,0.2
blnm_monotona_randomizada,20,10,7,0.0394,1272,128,0.3
blnm_monotona_randomizada,20,10,7,0.0301,1108,128,0.4
blnm_monotona_randomizada,20,10,7,0.0255,1048,128,0.5
blnm_monotona_randomizada,20,10,7,0.0237,1268,128,0.6
blnm_monotona_randomizada,20,10,7,0.0142,1038,128,0.7
blnm_monotona_randomizada,20,10,7,0.0149,1463,136,0.8
blnm_monotona_randomizada,20,10,7,0.0099,1912,136,0.9
blnm_monotona_randomizada,20,10,8,0.0433,1112,111,0.1
blnm_monotona_randomizada,20,10,8,0.0609,1732,110,0.2
blnm_monotona_randomizada,20,10,8,0.0371,1173,110,0.3
blnm_monotona_randomizada,20,10,8,0.0421,1519,111,0.4
blnm_monotona_randomizada,20,10,8,0.0256,1122,112,0.5
blnm_monotona_randomizada,20,10,8,0.0235,1263,111,0.6
blnm_monotona_randomizada,20,10,8,0.0274,1976,111,0.7
blnm_monotona_randomizada,20,10,8,0.0127,1287,116,0.8
blnm_monotona_randomizada,20,10,8,0.0081,1226,134,0.9
blnm_monotona_randomizada,20,10,9,0.0620,1517,125,0.1
blnm_monotona_randomizada,20,10,9,0.0715,1985,125,0.2
blnm_monotona_randomizada,20,10,9,0.0315,1013,125,0.3
blnm_monotona_randomizada,20,10,9,0.0281,1081,125,0.4
blnm_monotona_randomizada,20,10,9,0.0470,2014,125,0.5
blnm_monotona_randomizada,20,10,9,0.0292,1578,125,0.6
blnm_monotona_randomizada,20,10,9,0.0144,1029,127,0.7
blnm_monotona_randomizada,20,10,9,0.0127,1229,128,0.8
blnm_monotona_randomizada,20,10,9,0.0093,1458,138,0.9
blnm_monotona_randomizada,20,10,10,0.0655,1623,116,0.1
blnm_monotona_randomizada,20,10,10,0.0449,1249,116,0.2
blnm_monotona_randomizada,20,10,10,0.0536,1702,116,0.3
blnm_monotona_randomizada,20,10,10,0.0375,1423,118,0.4
blnm_monotona_randomizada,20,10,10,0.0323,1408,118,0.5
blnm_monotona_randomizada,20,10,10,0.0327,1636,119,0.6
blnm_monotona_randomizada,20,10,10,0.0502,3400,120,0.7
blnm_monotona_randomizada,20,10,10,0.0154,1525,124,0.8
blnm_monotona_randomizada,20,10,10,0.0216,3702,126,0.9
blnm_monotona_randomizada,30,20,1,0.1161,1014,96,0.1
blnm_monotona_randomizada,30,20,1,0.1090,1022,96,0.2
blnm_monotona_randomizada,30,20,1,0.0936,1028,96,0.3
blnm_monotona_randomizada,30,20,1,0.0960,1220,96,0.4
blnm_monotona_randomizada,30,20,1,0.0825,1261,96,0.5
blnm_monotona_randomizada,30,20,1,0.0591,1114,96,0.6
blnm_monotona_randomizada,30,20,1,0.0507,1225,103,0.7
blnm_monotona_randomizada,30,20,1,0.0356,1351,117,0.8
blnm_monotona_randomizada,30,20,1,0.0192,1310,139,0.9
blnm_monotona_randomizada,30,20,2,0.1405,1184,97,0.1
blnm_monotona_randomizada,30,20,2,0.1043,1039,97,0.2
blnm_monotona_randomizada,30,20,2,0.1024,1104,97,0.3
blnm_monotona_randomizada,30,20,2,0.0854,1081,97,0.4
blnm_monotona_randomizada,30,20,2,0.0780,1185,97,0.5
blnm_monotona_randomizada,30,20,2,0.0765,1411,97,0.6
