heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,15,10,1,0.0219,1007,92,0.1
blnm_monotona_randomizada,15,10,1,0.0204,1008,92,0.2
blnm_monotona_randomizada,15,10,1,0.0183,1026,92,0.3
blnm_monotona_randomizada,15,10,1,0.0175,1011,92,0.4
blnm_monotona_randomizada,15,10,1,0.0140,1031,92,0.5
blnm_monotona_randomizada,15,10,1,0.0119,1159,92,0.6
blnm_monotona_randomizada,15,10,1,0.0088,1041,92,0.7
blnm_monotona_randomizada,15,10,1,0.0131,2435,92,0.8
blnm_monotona_randomizada,15,10,1,0.0030,1003,94,0.9
blnm_monotona_randomizada,15,10,2,0.0209,1006,99,0.1
blnm_monotona_randomizada,15,10,2,0.0192,1018,99,0.2
blnm_monotona_randomizada,15,10,2,0.0169,1007,99,0.3
blnm_monotona_randomizada,15,10,2,0.0162,1003,99,0.4
blnm_monotona_randomizada,15,10,2,0.0123,1009,99,0.5
blnm_monotona_randomizada,15,10,2,0.0097,1006,99,0.6
blnm_monotona_randomizada,15,10,2,0.0089,1007,99,0.7
blnm_monotona_randomizada,15,10,2,0.0057,1025,99,0.8
blnm_monotona_randomizada,15,10,2,0.0056,1774,99,0.9
blnm_monotona_randomizada,15,10,3,0.0224,1049,94,0.1
blnm_monotona_randomizada,15,10,3,0.0198,1021,94,0.2
blnm_monotona_randomizada,15,10,3,0.0177,1026,94,0.3
blnm_monotona_randomizada,15,10,3,0.0148,1024,94,0.4
blnm_monotona_randomizada,15,10,3,0.0126,1007,94,0.5
blnm_monotona_randomizada,15,10,3,0.0110,1076,94,0.6
blnm_monotona_randomizada,15,10,3,0.0091,1125,94,0.7
blnm_monotona_randomizada,15,10,3,0.0070,1214,94,0.8
blnm_monotona_randomizada,15,10,3,0.0040,1079,97,0.9
blnm_monotona_randomizada,15,10,4,0.0243,1056,94,0.1
blnm_monotona_randomizada,15,10,4,0.0205,1021,94,0.2
blnm_monotona_randomizada,15,10,4,0.0190,1058,94,0.3
blnm_monotona_randomizada,15,10,4,0.0157,1031,94,0.4
blnm_monotona_randomizada,15,10,4,0.0130,1011,94,0.5
blnm_monotona_randomizada,15,10,4,0.0100,1042,94,0.6
blnm_monotona_randomizada,15,10,4,0.0090,1066,94,0.7
blnm_monotona_randomizada,15,10,4,0.0064,1073,94,0.8
blnm_monotona_randomizada,15,10,4,0.0041,1226,94,0.9
blnm_monotona_randomizada,15,10,5,0.0249,1007,97,0.1
blnm_monotona_randomizada,15,10,5,0.0211,1009,97,0.2
blnm_monotona_randomizada,15,10,5,0.0184,1013,97,0.3
blnm_monotona_randomizada,15,10,5,0.0154,1012,97,0.4
blnm_monotona_randomizada,15,10,5,0.0131,1007,97,0.5
blnm_monotona_randomizada,15,10,5,0.0098,1015,97,0.6
blnm_monotona_randomizada,15,10,5,0.0086,1065,97,0.7
blnm_monotona_randomizada,15,10,5,0.0071,1264,97,0.8
blnm_monotona_randomizada,15,10,5,0.0034,1155,97,0.9
blnm_monotona_randomizada,15,10,6,0.0232,1015,97,0.1
blnm_monotona_randomizada,15,10,6,0.0202,1039,97,0.2
blnm_monotona_randomizada,15,10,6,0.0184,1009,97,0.3
blnm_monotona_randomizada,15,10,6,0.0155,1035,97,0.4
blnm_monotona_randomizada,15,10,6,0.0132,1006,97,0.5
blnm_monotona_randomizada,15,10,6,0.0107,1021,97,0.6
blnm_monotona_randomizada,15,10,6,0.0084,1018,97,0.7
blnm_monotona_randomizada,15,10,6,0.0063,1008,97,0.8
blnm_monotona_randomizada,15,10,6,0.0077,2345,97,0.9
blnm_monotona_randomizada,15,10,7,0.0231,1016,99,0.1
blnm_monotona_randomizada,15,10,7,0.0201,1008,99,0.2
blnm_monotona_randomizada,15,10,7,0.0179,1021,99,0.3
blnm_monotona_randomizada,15,10,7,0.0157,1024,99,0.4
blnm_monotona_randomizada,15,10,7,0.0133,1027,99,0.5
blnm_monotona_randomizada,15,10,7,0.0104,1048,99,0.6
blnm_monotona_randomizada,15,10,7,0.0095,1097,99,0.7
blnm_monotona_randomizada,15,10,7,0.0083,1362,99,0.8
blnm_monotona_randomizada,15,10,7,0.0033,1137,114,0.9
blnm_monotona_randomizada,15,10,8,0.0220,1004,81,0.1
blnm_monotona_randomizada,15,10,8,0.0203,1004,81,0.2
blnm_monotona_randomizada,15,10,8,0.0173,1015,81,0.3
blnm_monotona_randomizada,15,10,8,0.0158,1003,81,0.4
blnm_monotona_randomizada,15,10,8,0.0118,1009,81,0.5
blnm_monotona_randomizada,15,10,8,0.0107,1024,81,0.6
blnm_monotona_randomizada,15,10,8,0.0075,1024,81,0.7
blnm_monotona_randomizada,15,10,8,0.0058,1067,81,0.8
blnm_monotona_randomizada,15,10,8,0.0035,1214,81,0.9
blnm_monotona_randomizada,15,10,9,0.0223,1006,87,0.1
blnm_monotona_randomizada,15,10,9,0.0201,1004,87,0.2
blnm_monotona_randomizada,15,10,9,0.0182,1015,87,0.3
blnm_monotona_randomizada,15,10,9,0.0153,1011,87,0.4
blnm_monotona_randomizada,15,10,9,0.0129,1030,87,0.5
blnm_monotona_randomizada,15,10,9,0.0105,1022,87,0.6
blnm_monotona_randomizada,15,10,9,0.0081,1072,87,0.7
blnm_monotona_randomizada,15,10,9,0.0069,1187,87,0.8
blnm_monotona_randomizada,15,10,9,0.0033,1182,87,0.9
blnm_monotona_randomizada,15,10,10,0.0228,1017,96,0.1
blnm_monotona_randomizada,15,10,10,0.0206,1011,96,0.2
blnm_monotona_randomizada,15,10,10,0.0176,1012,96,0.3
blnm_monotona_randomizada,15,10,10,0.0147,1006,96,0.4
blnm_monotona_randomizada,15,10,10,0.0139,1028,96,0.5
blnm_monotona_randomizada,15,10,10,0.0112,1003,96,0.6
